BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
EMBL1B;BI;BIKF;RW29;EMBLA;TMA04;{{N63494900,W024045100},{N63494900,W024045100},{N63281200,W026585400},{N63281200,W026585400}}
FLOS1A;BI;BIKF;RW29;FLOSI;TMA03;{{N64013100,W024073400},{N64013100,W024073400},{N64031800,W027104200},{N64031800,W027104200}}
FLOS1B;BI;BIKF;RW02;FLOSI;KEF;{{N63591300,W022365200},{N64013100,W024073400},{N64013100,W024073400},{N64031800,W027104200},{N64031800,W027104200}}
GIML1A;BI;BIKF;RW29;GIMLI;TMA02;{{N64130500,W024022100},{N64130500,W024022100},{N64382400,W026584200},{N64382400,W026584200}}
GIML1B;BI;BIKF;RW11;GIMLI;TMA02;{{N64130500,W024022100},{N64130500,W024022100},{N64382400,W026584200},{N64382400,W026584200}}
HA251A;BI;BIKF;DROMI;HAL25;HAL25;{{N63373500,W023045300},{N63373500,W023045300},{N63391295,W024004622},{N63405737,W025225802},{N63281200,W026585400},{N62594200,W026302400},{N63373500,W023045300},{N63373500,W023045300}}
HA401A;BI;BIKF;DROMI;HAL40;HAL40;{{N63243400,W023212100},{N63243400,W023212100},{N63265845,W024493606},{N63281200,W026585400},{N62594200,W026302400},{N63243400,W023212100},{N63243400,W023212100}}
HEKL1A;BI;BIKF;RW29;HEKLA;TMA01;{{N64221900,W023512300},{N64221900,W023512300},{N65064800,W026274200},{N65064800,W026274200}}
HEKL1B;BI;BIKF;RW11;HEKLA;TMA01;{{N64221900,W023512300},{N64221900,W023512300},{N65064800,W026274200},{N65064800,W026274200}}
SA1A;BI;BIKF;RW02;SA;SA;{{N64182000,W021581700},{N64182000,W021581700}}
SA1B;BI;BIKF;RW20;SA;SA;{{N64182000,W021581700},{N64182000,W021581700}}
SI201B;BI;BIKF;RW20;BREKI;SIM20;{{N63395700,W022251500},{N63395700,W022251500},{N63303857,W021340413},{N63365743,W022081763},{N63243500,W021522100},{N63395700,W022251500},{N62141800,W020280600},{N63395700,W022251500},{N62321800,W019324800}}
SI501B;BI;BIKF;BREKI;CELLO;SIM50;{{N63110100,W022081800},{N63110100,W022081800},{N62424899,W019545923},{N63022032,W021253188},{N63110100,W022081800},{N63110100,W022081800},{N62321800,W019324800},{N62141800,W020280600}}
SKAR1A;BI;BIKF;RW02;ING;METIL;{{N63581900,W021313400},{N63563400,W020121800},{N63481100,W016381700}}
SKAR1B;BI;BIKF;RW20;ING;METIL;{{N63581900,W021313400},{N63581900,W021313400},{N63581900,W021313400},{N63563400,W020121800},{N63563400,W020121800},{N63563400,W020121800},{N63481100,W016381700},{N63481100,W016381700},{N63481100,W016381700}}
EL1A;BI;BIRK;RW01;EL;RW01;{{N64045200,W021461500}}
EL1B;BI;BIRK;RW01;EL;RW01;{{N64090528,W022014384},{N64045200,W021461500}}
EL2A;BI;BIRK;RW19;EL;RW19;{{N64045200,W021461500}}
EL2B;BI;BIRK;RW19;EL;RW19;{{N64053600,W022002400},{N64045200,W021461500}}
EL3;BI;BIRK;RW31;EL;RW31;{{N64045200,W021461500}}
EL4A;BI;BIRK;RW13;EL;RW13;{{N64060167,W021502871},{N64045200,W021461500}}
EL4B;BI;BIRK;RW13;EL;RW13;{{N64050045,W021534525},{N64045200,W021461500}}
KEF1;BI;BIRK;RW01;KEF;RW01;{{N64090528,W022014384},{N63591300,W022365200}}
KEF2;BI;BIRK;RW19;KEF;RW19;{{N64053600,W022002400},{N63591300,W022365200}}
KEF3;BI;BIRK;RW31;KEF;RW31;{{N64090528,W022014384},{N63591300,W022365200}}
KEF4;BI;BIRK;RW13;KEF;RW13;{{N63591300,W022365200}}
PA1;BI;BIRK;RW01;PA;RW01;{{N64413784,W022444528},{N64470900,W022521500},{N65332100,W023571100}}
PA2;BI;BIRK;RW19;PA;RW19;{{N64090528,W022014384},{N64413784,W022444528},{N64470900,W022521500},{N65332100,W023571100}}
PA3;BI;BIRK;RW31;PA;RW31;{{N64090528,W022014384},{N64413784,W022444528},{N64470900,W022521500},{N65332100,W023571100}}
PA4;BI;BIRK;RW13;PA;RW13;{{N64090528,W022014384},{N64471213,W022100447},{N64470900,W022521500},{N65332100,W023571100}}
RE1;BI;BIRK;RW01;RE;RW01;{{N64180100,W022033800},{N64420800,W022085300},{N64471213,W022100447},{N65374300,W022213600},{N65553500,W022255400}}
RE2;BI;BIRK;RW19;RE;RW19;{{N64090528,W022014384},{N64180100,W022033800},{N64420800,W022085300},{N64471213,W022100447},{N65374300,W022213600},{N65553500,W022255400}}
RE3;BI;BIRK;RW31;RE;RW31;{{N64090528,W022014384},{N64180100,W022033800},{N64420800,W022085300},{N64471213,W022100447},{N65374300,W022213600},{N65553500,W022255400}}
RE4;BI;BIRK;RW13;RE;RW13;{{N64090528,W022014384},{N64180100,W022033800},{N64420800,W022085300},{N64471213,W022100447},{N65374300,W022213600},{N65553500,W022255400}}
RH1A;BI;BIRK;RW01;RH;RW01;{{N64090528,W022014384},{N64395100,W021171100}}
SA1A;BI;BIRK;RW01;RH;RW01;{{N64182000,W021581700},{N64255200,W021451200},{N64395100,W021171100}}
