37;EB;EBFN;;FL100;87;Y;;N51052500;E002391000;W0019;20;250;KOK;EB;4500;;;;;;WGE;KOKSIJDE - MIL;EBBU;EBBU
38;EB;EBFS;;FL100;111;N;;N50143600;E004384500;W0011;935;250;;;;;;;;;WGE;FLORENNES - MIL;EBBU;EBBU
39;EB;EBKT;KJK;FL100;62;Y;;N50490800;E003123200;W0020;62;250;;;4500;;;;;;WGE;KORTRIJK-WEVELGEM;EBBU;EBBU
40;EB;EBLE;;FL100;19;N;;N51071200;E005182600;W0010;207;250;;;;;;;;;WGE;BEVERLO/LEOPOLDSBURG;EBBU;EBUR
41;EB;EBLG;LGG;FL100;107;Y;;N50381102;E005263357;W0010;659;250;LGE;EB;4500;;;;;;WGE;LIEGE;EBBU;EBBU
42;EB;EBOS;OST;FL100;104;Y;;N51115601;E002514428;W0020;13;250;;;4500;;;;;;WGE;OOSTENDE BRUGGE/OOSTENDE;EBBU;EBUR
43;EB;EBSH;;FL100;32;N;;N50020900;E005241500;W0010;1847;250;;;4500;;;;;;WGE;ST HUBERT;EBBU;EBBU
44;EB;EBST;;FL100;39;N;;N50473100;E005120600;W0010;246;250;;;;;;;;;WGE;SINT TRUIDEN/BRUSTEM;EBBU;EBUR
45;EB;EBSU;;FL100;85;N;;N50020300;E005262400;W0008;1930;250;;;;;;;;;WGE;ST HUBERT AB;EBBU;EBBU
46;EB;EBTN;;FL100;25;N;;N50465400;E004572800;W0010;247;250;;;;;;;;;WGE;GOETSENHOVEN AB;EBBU;EBBU
47;EB;EBUL;;FL100;97;N;;N51083900;E003283200;W0016;95;250;;;;;;;;;WGE;URSEL AB;EBBU;EBBU
48;EB;EBWE;;FL100;97;N;;N51233900;E004573300;W0011;105;250;;;;;;;;;WGE;WEELDE;EBBU;EBBU
49;EB;EBZR;;FL100;97;N;;N51155300;E004451200;W0008;53;250;;;;;;;;;WGE;ZOERSEL/OOSTMALLE;EBBU;EBBU
50;ED;EDAB;;FL100;72;Y;;N51113671;E014311109;E0020;568;250;;;5000;;;;;;WGE;BAUTZEN;EDBB;EDBB
51;ED;EDAC;AOC;FL100;73;Y;;N50585454;E012302290;E0015;640;250;;;5000;;;;;;WGE;ALTENBURG/NOBITZ;EDBB;EDBB
