397;LK;KVY;KARLOVY VARY;N50115672;E012552903;;;E0007;WGE;LKAA;LKAA;;;1998;11155;264;;0
414;ED;LED;LEIPZIG;N51244055;E012132559;;;E0010;WGE;EDBB;EDBB;;;502;11215;195;;0
430;ED;LND;LEIPZIG;N51260353;E012133254;;;E0010;WGE;EDBB;EDBB;;;415;11350;195;;0
442;ED;LRD;LAHR;N48215091;E007493906;;;W0006;WGE;EDFF;EDUU;;;556;10805;0;;0
449;ED;LUD;LUEBECK-BLANKENSEE;N53482301;E010430707;;;E0000;WGE;EDFF;EDUU;;;70;11565;160;;0
479;ED;MGD;MAGDEBURG;N52043767;E011375124;;;E0012;WGE;EDBB;EDBB;;;302;11545;224;;0
480;ED;MHD;MONCHENGLADBACH;N51140567;E006293109;;;W0000;WGE;EDLL;EDVV;;;159;11250;190;;0
493;LE;MLL;MELILLA;N35182662;W002571952;;;W0025;WGE;LECM;LECM;;;381;11740;;;0
497;ED;MND;MANNHEIM;N49281430;E008305753;;;E0010;WGE;EDFF;EDUU;;;351;11355;467;;0
500;ED;MOD;MUENSTER/OSNABRUECK;N52081669;E007411407;;;E0000;WGE;EDLL;EDVV;;;207;11405;0;;0
515;ES;MX;VAEXJO;N56560700;E014435770;;;E0030;WGE;ESAA;ESAA;;;592;10970;;;0
525;ED;NGD;NURNBERG;N49300415;E011044855;;;E0010;WGE;EDFF;EDUU;;;1090;11310;220;;0
526;ED;NID;NIEDERRHEIN;N51355988;E006082933;;;E0000;WGE;EDLL;EDVV;;;152;11550;0;;1
536;BG;NQ;NARSARSUAQ;N61093749;W045242552;;;W0310;WGE;BGGL;BGGL;;;200;11185;0;;0
570;EG;OX;OXFORD;N51495676;W001192214;;;W0030;WGE;EGTT;EGTT;;;276;11770;342;1;0
572;ED;PAD;PADERBORN/LIPPSTADT;N51372431;E008382166;;;W0000;WGE;EDLL;EDVV;;;673;10850;;;0
582;LW;PEP;PRILEP;N41201600;E021265500;;;E0024;WGE;LWSS;LWSS;;;1;11375;0;;2
591;ED;PMD;SCHWERIN-PARCHIM;N53253016;E011470585;;;E0020;WGE;EDBB;EDBB;;;179;11750;271;;0
616;BG;QN;QAANAAQ;N77291460;W069222263;;;W0630;WGE;BGGL;BGGL;;;69;10835;;;0
639;ES;RON;RONNEBY DME;N56151540;E015154890;;;E0023;WGE;ESAA;ESAA;;;197;10920;;;1
648;ED;SAD;SAARBRUCKEN;N49124485;E007065784;;;E0000;WGE;EDFF;EDUU;;;1088;11675;241;;0
662;ED;SDD;BERLIN-SCHOENEFELD;N52222829;E013301322;;;E0010;WGE;EDBB;EDBB;;;173;11440;316;;0
664;ES;SDR;SODERHAMN;N61153390;E017060140;;;E0027;WGE;ESAA;ESAA;;;82;11020;;;2
668;EG;SFH;SHEFFIELD CITY;N53233473;W001225931;;;W0040;WGE;EGTT;EGTT;;;273;11135;;;0
669;ED;SGD;STUTTGART;N48411661;E009132678;;;E0010;WGE;EDFF;EDUU;;;1332;11545;116;;0
672;ED;SHD;SCHWABISCH HALL;N49065929;E009464136;;;E0010;WGE;EDFF;EDUU;;;1389;10850;157;;0
685;EN;SKO;SKOLTEN;N78085785;E016392961;;;E0000;WGE;ENOB;ENOB;;;3768;11670;;;2
689;ED;SLD;SIEGERLAND;N50422437;E008044264;;;E0000;WGE;EDFF;EDUU;;;2019;10805;141;;0
704;EN;SPA;SLEIPNER;N58220000;E001542500;;;W0042;WGE;EGPX;EGPX;;;417;11550;;;1
711;EN;SR;SOERKJOSEN;N69472176;E020571081;;;E0050;WGE;ENOR;ENOR;;;45;10930;452;;2
713;EG;SRH;SHOREHAM;N50500996;W000173654;;;W0031;WGE;EGTT;EGTT;;;47;10995;125;;0
743;EG;SWZ;SWANSEA;N51362136;W004041424;;;W0042;WGE;EGTT;EGTT;;;302;11030;;4;0
809;EN;VEA;SVEA;N77513525;E016390042;;;E0000;WGE;ENOB;ENOB;;;104;11750;;;2
855;EG;WOL;WOLVERHAMPTON;N52305686;W002154254;;;W0040;WGE;EGTT;EGTT;;;300;10860;320;;0
856;EG;WPL;WELSHPOOL;N52374700;W003091400;;;W0039;WGE;EGTT;EGTT;;;282;11595;167;;0
868;EG;YVL;YEOVIL;N50562663;W002391446;;;W0039;WGE;EGTT;EGTT;;;195;10905;;;0
874;ED;ZND;ZWEIBRUCKEN;N49123359;E007234480;;;E0000;WGE;EDFF;EDUU;;;1201;10910;416;;0
899;ED;KHD;KIEL-HOLTENAU;N54224366;E010084336;EDHK;ED;E0010;WGE;EDWW;EDVV;;;119;10950;;;0
901;ED;HOD;HOF;N50172325;E011511883;EDQM;ED;E0010;WGE;EDFF;EDUU;;;1946;11070;222;;0
958;EG;LDY;LYDD;N50573119;E000562092;EGMD;EG;W0030;WGE;EGTT;EGTT;;;28;10815;257;;0
990;EG;BCL;BENBECULA;N57283031;W007221316;EGPL;EG;W0081;WGE;EGPX;EGPX;;;48;10810;;;0
1114;ES;PGA;BODEN;N65483340;E021415050;ESPG;ES;E0070;WGE;ESAA;ESAA;;;95;11070;0;;0
1115;ES;ANE;STOCKHOLM;N59413830;E018033560;ESSA;ES;E0030;WGE;ESAA;ESAA;;;108;11330;;;0
1116;ES;ANW;STOCKHOLM;N59424780;E017510920;ESSA;ES;E0030;WGE;ESAA;ESAA;;;164;11205;;;0
1117;ES;ASE;STOCKHOLM;N59381390;E017572650;ESSA;ES;E0030;WGE;ESAA;ESAA;;;141;11445;;;0
1118;ES;ASW;STOCKHOLM;N59351570;E017491090;ESSA;ES;E0030;WGE;ESAA;ESAA;;;233;11375;;;0
1330;LR;SIB;SIBIU;N45471498;E024060537;LRSB;LR;E0033;WGE;LRBB;LRBB;;;1500;10890;555;;0
