298;EH;GZR;GILZE RIJEN;N51335774;E004560061;;;W0022;WGE;EHAA;EHAA;;;00046;11640;228;;0
320;ED;HNT;HOHN;N54183900;E009321920;;;E0003;WGE;EDWW;EDVV;;;00078;11530;228;;1
323;ED;HOP;HOPSTEN;N52204200;E007322340;;;W0003;WGE;EDLL;EDVV;;;00172;10900;;;1
325;ED;HOZ;HOLZDORF;N51460000;E013115640;;;E0015;WGE;EDBB;EDBB;;;00261;11725;001;;0
329;EN;HUM;HUMMELFJELL;N62255740;E011160590;;;E0060;WGE;ENOR;ENOR;;;05022;11100;;;2
330;LF;HYE;HYERES LE PALYVESTRE;N43060110;E006085150;;;W0000;WGE;LFMM;LFFF;;;00059;10900;465;;2
332;ED;IGL;INGOLSTADT;N48430420;E011341140;;;E0000;WGE;EDMM;EDUU;;;01233;11140;178;;1
338;LI;ISA;TREVISO ISTRANA;N45411510;E012070150;;;E0009;WGE;LIMM;LIMM;;;00168;11170;;;3
340;LF;ITR;ISTRES LE TUBE;N43313390;E004553690;;;W0012;WGE;LFMM;LFFF;;;00098;11570;416;;1
354;EK;KAR;KARUP;N56174803;E009003095;;;W0000;WGE;EKDK;EKDK;;;00173;11000;506;;2
370;LG;KLM;KALAMATA;N37044200;E022011200;;;E0021;;LGGG;LGGG;;;00051;11520;341;;1
374;EN;KNO;KAUTOKEINO;N69010787;E023012270;;;E0068;WGE;ENOR;ENOR;;;01262;10960;;;2
394;EG;KSS;KINLOSS;N57393335;W003320641;;;W0063;WGE;EGPX;EGPX;;;00075;10980;;;2
399;ED;LAB;LANDSBERG;N48035520;E010525100;;;E0010;WGE;EDMM;EDUU;;;02077;11215;;;1
400;ED;LAG;LAAGE;N53551260;E012170960;;;E0011;WGE;EDBB;EDBB;;;00190;10825;;;2
401;LP;LAJ;LAJES;N38424800;W027065550;;;W0140;WGE;LPPO;LPPO;;;01785;11080;000;;2
411;ED;LCH;LECHFELD;N48112580;E010513540;;;E0013;WGE;EDMM;EDUU;;;01836;10880;201;;1
412;LF;LDV;LANDIVISIAU;N48314180;W004092270;;;W0040;WGE;LFRR;LFFF;;;00364;11515;454;;0
415;EG;LEE;LEEMING;N54174959;W001321274;;;W0040;WGE;EGTT;EGTT;;;00132;11260;000;;2
424;EG;LKH;LAKENHEATH;N52242311;E000325267;;;W0040;WGE;EGTT;EGTT;;;00091;11020;;;2
425;ED;LLK;LAARBRUCH;N51361200;E006081800;;;W0015;WGE;EDLL;EDVV;;;00105;11550;288;;0
436;EG;LOO;LINTON ON OUSE;N54030177;W001145656;;;W0040;WGE;EGTT;EGTT;;;00053;10900;000;;2
437;LF;LOR;LORIENT LANN BIHOUE;N47454130;W003262820;;;W0040;WGE;LFRR;LFFF;;;00164;11580;351;;1
440;ED;LPH;LEIPHEIM;N48241500;E010055800;;;E0001;WGE;EDMM;EDUU;;;01566;11160;366;;2
