2772;LP;3035N;N30 00 W035 00;N30000000;W035000000;ENRT;;W0149;WGE;LPPO;LPPO;;;;RF;
2773;LF;30LVM;LVM-303/D30;N45594480;E004302150;ENRT;;W0011;WGE;LFMM;LFFF;;;;I;
2774;LF;30PAS;PAS-144/D30.0;N45454400;E006254100;ENRT;;E0001;WGE;LFMM;LFFF;;;;IU;L
2775;LP;3120N;N31 00 W020 00;N31000000;W020000000;ENRT;;W0089;WGE;LPPO;LPPO;;;;RF;
2776;LP;3125N;N31 00 W025 00;N31000000;W025000000;ENRT;;W0104;WGE;LPPO;LPPO;;;;IF;
2777;LP;3130N;N31 00 W030 00;N31000000;W030000000;ENRT;;W0128;WGE;LPPO;LPPO;;;;RF;
2778;LP;3135N;N31 00 W035 00;N31000000;W035000000;ENRT;;W0145;WGE;LPPO;LPPO;;;;RF;
2779;LP;3140N;N31 00 W040 00;N31000000;W040000000;ENRT;;W0164;WGE;LPPO;LPPO;;;;RF;
2780;LP;3145N;N31 00 W045 00;N31000000;W045000000;ENRT;;W0167;WGE;LPPO;LPPO;;;;RF;
2781;LP;3220N;N32 00 W020 00;N32000000;W020000000;ENRT;;W0089;WGE;LPPO;LPPO;;;;RF;
2782;LP;3225N;N32 00 W025 00;N32000000;W025000000;ENRT;;W0104;WGE;LPPO;LPPO;;;;IF;
2783;LP;3230N;N32 00 W030 00;N32000000;W030000000;ENRT;;W0128;WGE;LPPO;LPPO;;;;RF;
2784;LP;3235N;N32 00 W035 00;N32000000;W035000000;ENRT;;W0145;WGE;LPPO;LPPO;;;;RF;
2785;EG;32DET;DET-001/D32.0;N51501185;E000351145;ENRT;;W0028;WGE;EGTT;EGTT;;;;I E;
2786;LP;3319N;N33 00 W019 00;N33000000;W019000000;ENRT;;W0085;WGE;LPPO;LPPO;;;;RF;
2787;LP;3320N;N33 00 W020 00;N33000000;W020000000;ENRT;;W0089;WGE;LPPO;LPPO;;;;RF;
2788;LP;3325N;N33 00 W025 00;N33000000;W025000000;ENRT;;W0104;WGE;LPPO;LPPO;;;;IF;
2789;LP;3330N;N33 00 W030 00;N33000000;W030000000;ENRT;;W0128;WGE;LPPO;LPPO;;;;RF;
2790;LP;3335N;N33 00 W035 00;N33000000;W035000000;ENRT;;W0141;WGE;LPPO;LPPO;;;;IF;
2791;LF;33LSE;BOBSI-173/LSE-D33.0;N46172770;E004592980;ENRT;;W0006;WGE;LFMM;LFFF;;;;I D;
2792;LP;3419N;N34 00 W019 00;N34000000;W019000000;ENRT;;W0089;WGE;LPPO;LPPO;;;;RF;
2793;LP;3420N;N34 00 W020 00;N34000000;W020000000;ENRT;;W0094;WGE;LPPO;LPPO;;;;RF;
2794;LP;3425N;N34 00 W025 00;N34000000;W025000000;ENRT;;W0104;WGE;LPPO;LPPO;;;;IF;
2795;LP;3430N;N34 00 W030 00;N34000000;W030000000;ENRT;;W0133;WGE;LPPO;LPPO;;;;RF;
2796;LP;3435N;N34 00 W035 00;N34000000;W035000000;ENRT;;W0146;WGE;LPPO;LPPO;;;;RF;
2797;LY;34BEO;DABAR;N44301453;E021002092;ENRT;;E0027;WGE;LYBA;LYBA;;;;R E;
2798;LF;34CLM;CLM-248/D33.7;N48370836;E002141329;ENRT;;W0017;WGE;LFFF;LFFF;;;;I D;
2799;LP;3515N;N35 00 W015 00;N35000000;W015000000;ENRT;;W0074;WGE;LPPC;LPPC;;;;RF;
2800;LP;3516N;N35 00 W016 00;N35000000;W016000000;ENRT;;W0069;WGE;LPPO;LPPO;;;;IF;
2801;LP;3517N;N35 00 W017 00;N35000000;W017000000;ENRT;;W0078;WGE;LPPO;LPPO;;;;RF;
2802;LP;3520N;N35 00 W020 00;N35000000;W020000000;ENRT;;W0094;WGE;LPPO;LPPO;;;;RF;
2803;LG;3525E;N35 00 E025 00;N35000000;E025000000;ENRT;;E0024;;LGGG;LGGG;;;;RF;
2804;LP;3525N;N35 00 W025 00;N35000000;W025000000;ENRT;;W0113;WGE;LPPO;LPPO;;;;RF;
2805;LP;3530N;N35 00 W030 00;N35000000;W030000000;ENRT;;W0133;WGE;LPPO;LPPO;;;;RF;
2806;LP;3535N;N35 00 W035 00;N35000000;W035000000;ENRT;;W0150;WGE;LPPO;LPPO;;;;RF;
2807;LP;3610N;N36 00 W010 00;N36000000;W010000000;ENRT;;W0051;WGE;LPPC;LPPC;;;;RF;
2808;LP;3620N;N36 00 W020 00;N36000000;W020000000;ENRT;;W0095;WGE;LPPO;LPPO;;;;RF;
2809;LP;3625N;N36 00 W025 00;N36000000;W025000000;ENRT;;W0105;WGE;LPPO;LPPO;;;;IF;
2810;LP;3630N;N36 00 W030 00;N36000000;W030000000;ENRT;;W0134;WGE;LPPO;LPPO;;;;RF;
2811;LP;3635N;N36 00 W035 00;N36000000;W035000000;ENRT;;W0142;WGE;LPPO;LPPO;;;;IF;
2812;LF;36CRL;DPE-151/CRL D36.0;N49251662;E001380749;ENRT;;W0030;WGE;LFFF;LFFF;;;;I;
2813;LE;3700E;N37 00 E000 00;N37000000;E000000000;ENRT;;W0016;WGE;LECM;LECM;;;;RF;
2814;LP;3720N;N37 00 W020 00;N37000000;W020000000;ENRT;;W0091;WGE;LPPO;LPPO;;;;RF;
2815;LP;3725N;N37 00 W025 00;N37000000;W025000000;ENRT;;W0106;WGE;LPPO;LPPO;;;;IF;
2816;LP;3730N;N37 00 W030 00;N37000000;W030000000;ENRT;;W0135;WGE;LPPO;LPPO;;;;RF;
2817;LP;3735N;N37 00 W035 00;N37000000;W035000000;ENRT;;W0143;WGE;LPPO;LPPO;;;;IF;
2818;LE;3800E;N38 00 E000 00;N38000000;E000000000;ENRT;;W0016;WGE;LECM;LECM;;;;RF;
2819;LP;3810N;N38 00 W010 00;N38000000;W010000000;ENRT;;W0052;WGE;LPPC;LPPC;;;;RF;
2820;LP;3820N;N38 00 W020 00;N38000000;W020000000;ENRT;;W0092;WGE;LPPO;LPPO;;;;RF;
