1399;EF;AS;ALFA-SIERRA (KEMI);N65403058;E024331023;;;E0065;WGE;EFPS;EFPS;;;;03240;H M N
1400;ES;AS;ARVIDSJAUR;N65334348;E019220324;;;E0040;WGE;ESAA;ESAA;;;;03580;H L N
1401;LF;AS;ANGERS;N47343810;W000090520;;;W0029;WGE;LFFF;LFFF;;;;03920;H M N
1402;EN;ASK;ASKOY;N60251919;E005104891;;;W0030;WGE;ENOR;ENOR;;;;03600;H   N
1403;LF;AT;ANNECY;N45514190;E006011320;;;W0007;WGE;LFMM;LFFF;;;;03840;H   N
1404;EN;ATA;ALTA;N69593224;E023173538;;;E0068;WGE;ENOR;ENOR;;;;03580;HML A
1405;EG;ATF;ABERDEEN;N57043905;W002062052;;;W0050;WGE;EGTT;EGTT;;;;03480;H LW 
1406;LG;ATL;ASTYPALAIA;N36344700;E026223300;;;E0022;;LGGG;LGGG;;;;04220;H M N
1407;LE;ATR;MURCIA-ALCANTARILLA;N37560800;W001134000;;;W0025;WGE;LECB;LECB;;;;03450;H   N
1408;LF;AUB;AUBENAS;N44263170;E004214340;;;W0012;WGE;LFMM;LFFF;;;;04270;H M N
1409;ES;AV;SAVE;N57442130;E011515500;;;E0000;WGE;ESAA;ESAA;;;;04050;H L N
1410;LE;AV;ASTURIAS;N43322070;W005554990;;;W0041;WGE;LECM;LECM;;;;03870;H L A
1411;LF;AV;AVORD;N46525280;E002554380;;;W0010;WGE;LFFF;LFFF;;;;03065;H L  
1412;LF;AVD;AVORD;N47071440;E002475860;;;W0010;WGE;LFFF;LFFF;;;;02885;H M  
1413;LI;AVI;AVIANO;N45552736;E012254236;;;E0007;WGE;LIMM;LIMM;;;;03900;H    
1414;LE;AVS;ASTURIAS-NDB;N43332823;W006014221;;;W0045;WGE;LECM;LECM;;;;03250;H   N
1415;LF;AX;AUXERRE;N47551260;E003300770;;;W0018;WGE;LFFF;LFFF;;;;04400;H M N
1416;EP;AY;WARSZAWA/OKECIE;N52103158;E020555717;;;E0030;WGE;EPWW;EPWW;;;;03750;HM  A
1417;EF;B;BRAVO  KITTILAE;N67400295;E024520715;;;E0068;WGE;EFPS;EFPS;;;;03640;H L  
1418;LB;B;BURGAS;N42331274;E027293582;;;E0030;;LBWR;LBWR;;;;03350;H   N
1419;LE;B;BILBAO;N43222217;W003020551;;;W0035;WGE;LECM;LECM;;;;03950;H L N
1420;LK;B;BOREK;N49085465;E016433423;;;E0018;WGE;LKAA;LKAA;;;;04290;H   N
1421;LU;B;BALTI LMM RWY33;N47491669;E027474331;;;E0040;;LUUU;LUUU;;;;03890;H MW 
1422;LZ;B;BARKA;N48090269;E017143371;;;E0020;WGE;LZBB;LZBB;;;;04380;HML A
1423;ED;BA;BAUTZEN;N51115573;E014325219;;;E0013;WGE;EDBB;EDBB;;;;03590;H M N
1424;EN;BA;PORSANG;N69534503;E025002908;;;E0080;WGE;ENOR;ENOR;;;;02750;H L  
1425;LY;BA;PRISTINA;N42372000;E021014970;;;E0025;WGE;LYBA;LYBA;;;;04200;H M  
1426;EG;BAE;MANCHESTER/BARTON;N53280953;W002231917;;;W0040;WGE;EGTT;EGTT;;;;03250;H MW 
