ENRT;;00;CAA;LF;D;B;0600;L;;10;02600;;;;;CAZAUX;NDB;1527
ENRT;;00;CALAN;LF;E;A;3600;R;;10;03500;;;;;CALAN;WAYPOINT;4363
ENRT;;00;CDN;LF;D;B;2780;R;;10;03000;;;;;CHATEAUDUN;NDB;1543
ENRT;;00;CFN;EI;D;B;0290;L;;10;03600;FL070;220;;;CARRICKFIN;NDB;1549
ENRT;;00;CHO;EP;D;B;3340;R;;10;05000;;;;;CHOCIWEL;NDB;1557
ENRT;;00;CHT;EG;D;B;2930;L;035;;04000;;;;;CHILTERN;NDB;1558
ENRT;;00;CM;LF;D;B;0290;L;;10;03000;;;;;CAUMONT (AVIGNON);NDB;1566
ENRT;;00;COA;LE;D;B;0350;L;;10;03500;;;;;LA CORUNA;NDB;1573
ENRT;;00;COR;ES;D;B;0270;R;;10;02500;;170;;;CORNER;NDB;1576
ENRT;;00;COR;LE;D;B;2500;L;;10;03500;;;;;CORDOBA;NDB;1577
ENRT;;00;CRE;LD;D;B;2680;R;;10;04000;;;;;CRES;NDB;1581
ENRT;;00;CRV;LR;D; ;2660;L;;10;FL040;;;;;;VHF;167
ENRT;;00;CSL;LI;D; ;3000;L;;10;FL130;;;;;TORINO CASELLE;VHF;169
ENRT;;00;CT;LF;D;B;0250;L;;10;04000;;;;;AJACCIO;NDB;1589
ENRT;;00;CUDLY;LP;E;A;3330;L;;10;FL060;;;;;CUDLY;WAYPOINT;4472
ENRT;;00;DAN;LY;D;B;1450;R;035;;07400;;;;;PODGORICA;NDB;1606
ENRT;;00;DANNU;EN;E;A;1970;R;;10;05000;;;;;DANNU;WAYPOINT;4498
ENRT;;00;DC;LH;D;B;2240;L;;10;03000;;;;;DEBRECEN;NDB;1610
ENRT;;00;DEC;LI;D;B;3330;R;;10;04000;;;;;DECIMOMANNU;NDB;1612
ENRT;;00;DIN;LF;D; ;1680;R;;10;02000;;;;;DINARD;VHF;187
ENRT;;00;DINIL;EI;E;A;1590;R;050;;06000;FL140;220;;;DINIL;WAYPOINT;4673
ENRT;;00;DK;ES;D;B;1000;R;;10;03300;;;;;VILHELMINA;NDB;1618
ENRT;;00;DKA;LC;D;B;2950;R;;10;04000;;;;;DHEKELIA;NDB;1619
ENRT;;00;DOBEN;LK;E;A;0540;L;;10;05500;;;;;;WAYPOINT;4733
ENRT;;00;DOGGI;EN;E;A;2360;L;;10;FL100;;;;;DOGGI;WAYPOINT;4748
