58;EN;BDF;BARDUFOSS;N69035336;E018275812;;;E0050;WGE;ENOR;ENOR;;;00598;BDF;N69035336;E018275812;11420;551;;2
60;EN;BDO;BODO;N67160011;E014215348;;;E0030;WGE;ENOR;ENOR;;;00099;BDO;N67160011;E014215348;11755;;;2
63;EG;BEL;BELFAST;N54394012;W006134766;;;W0057;WGE;EGPX;EGPX;;;00194;BEL;N54394012;W006134766;11720;462;;2
64;EG;BEN;BENBECULA;N57284057;W007215508;;;W0071;WGE;EGPX;EGPX;;;00036;BEN;N57284057;W007215508;11395;519;;2
65;LY;BEO;BEOGRAD;N44482530;E020200580;;;E0025;WGE;LYBA;LYBA;;;00331;BEO;N44482530;E020200580;11230;406;;2
67;LE;BGR;BAGUR;N41565167;E003123189;;;W0005;WGE;LECB;LECB;;;01050;BGR;N41565150;E003123189;11220;387;;2
68;LB;BGS;BURGAS;N42341580;E027311152;;;E0040;;LBWR;LBWR;;;00144;BGS;N42341580;E027311152;11200;304;;2
70;EG;BHD;BERRY HEAD;N50235500;W003293700;;;W0036;WGE;EGTT;EGTT;;;00215;BHD;N50235500;W003293700;11205;331;;2
71;EG;BIG;BIGGIN;N51195115;E000020532;;;W0024;WGE;EGTT;EGTT;;;00590;BIG;N51195115;E000020532;11510;377;;2
72;ED;BKD;BRUENKENDORF;N53020428;E011324638;;;E0011;WGE;EDBB;EDBB;;;00092;BKD;N53020428;E011324638;11770;410;;2
73;LH;BKS;BEKES;N46475991;E021042596;;;E0028;WGE;LHCC;LHCC;;;00312;BKS;N46475991;E021042596;11580;431;;1
74;EG;BKY;BARKWAY;N51592300;E000034300;;;W0025;WGE;EGTT;EGTT;;;00486;BKY;N51592300;E000034300;11625;566;;2
77;LY;BLC;BLACE;N43145530;E021214190;;;E0032;WGE;LYBA;LYBA;;;01161;BLC;N43145530;E021214190;11610;579;;2
78;LF;BLM;BALE MULHOUSE;N47375810;E007295820;;;E0000;WGE;LFEE;LFFF;;;00886;BLM;N47375810;E007295820;11745;328;;1
79;LE;BLN;BAILEN;N38090906;W003373004;;;W0031;WGE;LECM;LECM;;;01775;BLN;N38090906;W003373024;11620;474;;2
80;LB;BLO;BAILOVO;N42400300;E023484600;;;E0028;;LBSR;LBSR;;;03051;BLO;N42400300;E023484600;11750;285;;1
81;LE;BLV;BILBAO;N43181577;W002560916;;;W0040;WGE;LECM;LECM;;;00142;BLV;N43181577;W002560916;11590;424;;2
82;LF;BMC;BORDEAUX MERIGNAC;N44493700;W000431600;;;W0020;WGE;LFBB;LFFF;;;00210;BMC;N44493700;W000431600;11375;414;;2
83;ED;BMN;BREMEN;N53023858;E008465570;;;E0000;WGE;EDWW;EDVV;;;00040;BMN;N53023858;E008465570;11745;329;;1
84;EN;BNA;BANAK;N70103455;E024565425;;;E0080;WGE;ENOR;ENOR;;;00103;BNA;N70103455;E024565425;11440;270;;2
87;EG;BNN;BOVINGDON;N51433400;W000325900;;;W0027;WGE;EGTT;EGTT;;;00500;BNN;N51433400;W000325900;11375;414;;2
88;EN;BNN;BRONNOY;N65272539;E012125163;;;E0002;WGE;ENOR;ENOR;;;00068;BNN;N65272539;E012125163;11530;;;2
89;LK;BNO;BRNO;N49090023;E016413329;;;E0019;WGE;LKAA;LKAA;;;00800;BNO;N49090023;E016413329;11390;000;;2
90;LI;BOA;BOLOGNA;N44321330;E011172638;;;E0014;WGE;LIMM;LIMM;;;00156;BOA;N44321330;E011172638;11220;273;;1
93;ES;BOR;BORLANGE;N60251740;E015310910;;;E0030;WGE;ESAA;ESAA;;;00518;BOR;N60251740;E015310910;11760;;;2
94;EG;BPK;BROOKMANS PARK;N51445905;W000062425;;;W0026;WGE;EGTT;EGTT;;;00382;BPK;N51445905;W000062425;11750;272;;2
95;LE;BRA;BARAJAS(MADRID);N40280885;W003332713;;;W0040;WGE;LECM;LECM;;;01962;BRA;N40280850;W003332759;11645;;;1
97;LR;BRV;BRASOV;N45340318;E025335285;;;E0035;WGE;LRBB;LRBB;;;05994;BRV;N45340318;E025335285;11760;439;;3
98;LF;BRY;BRAY SUR SEINE;N48242520;E003174120;;;W0020;WGE;LFFF;LFFF;;;00289;BRY;N48242520;E003174120;11410;386;;2
99;LI;BSA;MONTICHIARI;N45261692;E010185764;;;E0006;WGE;LIMM;LIMM;;;00356;BSA;N45261619;E010185731;11770;000;;0
100;LF;BSN;BOURSONNE;N49111790;E003032350;;;W0020;WGE;LFFF;LFFF;;;00632;BSN;N49111790;E003032350;11485;243;;2
102;LF;BT;PARIS LE BOURGET;N48582880;E002271860;;;W0020;WGE;LFFF;LFFF;;;00200;BT;N48582880;E002271860;10880;227;;0
103;LF;BTA;BASTIA PORETTA;N42342490;E009282940;;;E0007;WGE;LFMM;LFFF;;;00036;BTA;N42342490;E009282940;11415;486;;2
105;LF;BTZ;BIARRITZ BAYONNE ANGLET;N43275990;W001303700;;;W0025;WGE;LFBB;LFFF;;;00276;BTZ;N43275990;W001303700;11415;486;;2
106;EB;BUB;BRUSSELS;N50540839;E004321711;;;W0019;WGE;EBBU;EBUR;;;00187;BUB;N50540839;E004321711;11460;286;;2
107;LH;BUD;BUDAPEST;N47270136;E019145750;;;E0025;WGE;LHCC;LHCC;;;00509;BUD;N47270136;E019145750;11730;000;;0
108;LH;BUG;BUGAC VOR/D;N46403954;E019405424;;;E0023;WGE;LHCC;LHCC;;;00404;BUG;N46403954;E019405424;11340;333;;1
109;LY;BUI;BUDISAVCI;N42375890;E020294500;;;E0032;WGE;LYBA;LYBA;;;01575;BUI;N42375890;E020294500;11520;340;;2
110;EB;BUN;BRUNO;N51070709;E004503155;;;W0016;WGE;EBBU;EBUR;;;00070;BUN;N51070709;E004503155;11060;000;;1
