10746;ED;IFNE;ILS PISTE;N50024638;E008352956;EDDF;ED;W000;WGE;;;;;;3;11010;RW07L;0690;N50015724;E008322345;0984;;1181;;300;04;90032;9
10747;ED;IFNW;ILS PISTE;N50015412;E008315086;EDDF;ED;W000;WGE;;;;;;3;10950;RW25R;2490;N50023445;E008345921;0919;;1132;;300;04;90036;4
10748;ED;IFSE;ILS PISTE;N50022845;E008352937;EDDF;ED;W000;WGE;;;;;;3;11095;RW07R;0690;N50013897;E008322180;1214;;1115;;300;04;90032;8
10749;ED;IFSW;ILS PISTE;N50013620;E008315070;EDDF;ED;W000;WGE;;;;;;3;11070;RW25L;2490;N50021677;E008345784;0787;;1181;;300;04;90036;4
10750;ED;IFWL;ILS PISTE;N50013485;E008314506;EDDF;ED;E000;WGE;;;;;;1;11135;RW26L;2490;N50020732;E008334352;1254;;1132;;300;04;90034;2
10785;ED;IMOE;ILS PISTE;N52081783;E007420752;EDDG;ED;E000;WGE;;;;;;1;11190;RW07;0710;N52080036;E007402493;0489;;1066;;300;05;00015;6
10786;ED;IMOW;ILS PISTE;N52074971;E007395445;EDDG;ED;E000;WGE;;;;;;2;11010;RW25;2510;N52081556;E007413260;0525;;0984;;300;05;00015;8
10851;ED;IHHE;ILS PISTE;N53381867;E010001705;EDDH;ED;E001;WGE;;;;;;1;11050;RW05;0490;N53371538;E009582196;0984;;1148;;300;05;30005;3
10852;ED;IHHN;ILS PISTE;N53392569;E009582228;EDDH;ED;E001;WGE;;;;;;0;10990;RW33;3320;;;1118;;;;;0;;
10853;ED;IHHS;ILS PISTE;N53372354;E010000783;EDDH;ED;E001;WGE;;;;;;1;11135;RW15;1520;N53390517;E009583269;0787;;1148;;300;05;00005;3
10854;ED;IHHW;ILS PISTE;N53365716;E009573207;EDDH;ED;E001;WGE;;;;;;3;11150;RW23;2290;N53380732;E009593920;1378;;1148;;300;05;20005;3
10904;ED;IDBR;ILS PISTE;N52281721;E013251255;EDDI;ED;E002;WGE;;;;;;1;10970;RW09R;0860;N52281989;E013234948;0344;;0951;;300;05;20015;8
10905;ED;IDLB;ILS PISTE;N52281569;E013231870;EDDI;ED;E002;WGE;;;;;;1;10950;RW27L;2660;N52281209;E013244289;0636;;0984;;350;06;20016;4
10961;ED;IKEN;ILS PISTE;N50525623;E007073518;EDDK;ED;W000;WGE;;;;;;3;10970;RW32R;3180;N50513040;E007095133;0898;;0915;;300;05;10030;2
10962;ED;IKES;ILS PISTE;N50511032;E007100863;EDDK;ED;W000;WGE;;;;;;3;11090;RW14L;1380;N50524615;E007080229;1151;;0881;;300;05;40023;0
