54;EB;RW11;EBFN;08786;1110;N51054000;E002381700;;;00014;0394;50;164;;  00;00;;    
55;EB;RW20;EBFN;06614;1950;N51061650;E002394650;;;00014;0000;50;171;;  00;00;;    
56;EB;RW29;EBFN;08786;2910;N51051150;E002401750;;;00020;0367;50;164;;  00;00;;    
57;EB;RW06;EBKT;06234;0640;N50485600;E003115400;;;00062;0328;50;148;;  00;82;;    
58;EB;RW24;EBKT;06234;2440;N50492200;E003131100;;;00062;0328;50;148;IKT; 000;00;;    
59;EB;RW05L;EBLG;07677;0460;N50375259;E005254850;;;00637;0000;50;148;;  00;00;;    
60;EB;RW05R;EBLG;10784;0460;N50374310;E005254882;;;00652;0774;54;148;IHH;100;00;;    
61;EB;RW23L;EBLG;10784;2260;N50385263;E005273908;;;00603;0000;54;148;ILG;300;00;;    
62;EB;RW23R;EBLG;07677;2260;N50384591;E005271303;;;00585;0000;54;148;ILG;P100;00;;    
63;EB;RW08;EBOS;10499;0790;N51114985;E002512468;;;00015;0984;50;148;;  00;00;;    
64;EB;RW26;EBOS;10499;2590;N51120857;E002532917;;;00013;1362;52;148;IOS;100;00;;    
65;ED;RW07;EDAB;07218;0720;N51112648;E014301683;;;00568;0000;50;164;;  00;00;;    
66;ED;RW25;EDAB;07218;2520;N51114693;E014320530;;;00530;0000;50;164;;  00;00;;    
67;ED;RW04;EDAC;07333;0380;N50583374;E012295575;;;00639;0853;50;148;;  00;00;;    
68;ED;RW22;EDAC;07333;2180;N50591558;E012305033;;;00605;0984;52;148;IAL;W100;00;;    
69;ED;RW10;EDAH;07562;1030;N53525387;E014080421;;;00077;0000;49;115;;  00;00;;    
70;ED;RW28;EDAH;07562;2830;N53523393;E014100580;;;00089;0000;49;115;IHE;W000;00;;    
71;ED;RW09;EDBH;03937;0890;N54201759;E012420317;;;00007;0000;50;098;;  09;84;;    
72;ED;RW27;EDBH;03937;2690;N54201729;E012430682;;;00022;0164;50;098;;  09;84;;    
73;ED;RW09;EDBM;03281;0870;N52042479;E011371569;;;00267;0410;50;098;;  00;00;;    
74;ED;RW27;EDBM;03281;2670;N52042568;E011380152;;;00249;0000;50;098;;  00;00;;    
75;ED;RW07;EDCD;08150;0670;N51530765;E014305456;;;00251;0000;49;148;;  00;00;;    
76;ED;RW25;EDCD;08150;2470;N51533656;E014325575;;;00271;0000;49;148;;  00;00;;    
77;ED;RW07L;EDDB;08891;0670;N52224845;E013310171;;;00148;0000;50;148;;  00;00;;    
78;ED;RW07R;EDDB;09842;0670;N52220368;E013290609;;;00146;0000;49;148;ISS;E309;84;;    
79;ED;RW25L;EDDB;09842;2470;N52223875;E013313395;;;00155;0000;49;148;ISS;W309;84;;    
80;ED;RW25R;EDDB;08891;2470;N52232011;E013331531;;;00145;0000;50;148;;  03;28;;    
81;ED;RW04;EDDC;08228;0390;N51072729;E013451957;;;00755;0000;52;167;IDR;E300;00;;    
82;ED;RW22;EDDC;08228;2190;N51082863;E013464400;;;00703;0000;47;167;IDR;W100;00;;    
83;ED;RW10;EDDE;08530;0960;N50585260;E010562304;;;01025;0000;49;164;IER;E300;00;;    
84;ED;RW28;EDDE;08530;2760;N50584289;E010582457;;;01016;0689;49;164;IER;W300;00;;    
85;ED;RW07L;EDDF;13123;0690;N50015743;E008320467;;;00329;0000;49;197;IFN;E300;00;;    
86;ED;RW07R;EDDF;13123;0690;N50013916;E008320303;;;00328;0000;49;148;IFS;E300;00;;    
87;ED;RW08R;EDDF;08202;0690;N50013915;E008320303;;;00328;0000;50;148;;  00;00;;    
88;ED;RW18;EDDF;13123;1790;N50020398;E008313334;;;00326;0000;50;148;;  00;00;;    
89;ED;RW25L;EDDF;13123;2490;N50022419;E008351151;;;00362;0000;49;148;IFS;W300;00;;    
90;ED;RW25R;EDDF;13123;2490;N50024246;E008351314;;;00364;0000;49;197;IFN;W300;00;;    
91;ED;RW26L;EDDF;08202;2490;N50020731;E008340083;;;00342;0000;49;148;IFW;L100;00;;    
92;ED;RW36;EDDF;13123;3590;N49595453;E008313462;;;00316;0000;50;148;;  00;00;;    
93;ED;RW07;EDDG;07119;0710;N52075347;E007401218;;;00156;0000;50;148;IMO;E100;00;;    
94;ED;RW25;EDDG;07119;2510;N52081416;E007415012;;;00159;0656;50;148;IMO;W200;00;;    
95;ED;RW05;EDDH;10663;0490;N53371185;E009580180;;;00032;0978;53;151;IHH;E100;00;;    
96;ED;RW15;EDDH;12028;1520;N53391588;E009583076;;;00053;0000;50;151;IHH;S100;00;;    
97;ED;RW23;EDDH;10663;2290;N53380964;E009595876;;;00043;0509;52;151;IHH;W300;00;;    
98;ED;RW33;EDDH;12028;3320;N53374325;E009595081;;;00035;1463;50;151;IHH;N000;00;;    
99;ED;RW09L;EDDI;06870;0840;N52282847;E013233731;;;00144;1404;58;141;;17;52;;    
100;ED;RW09R;EDDI;06037;0860;N52281484;E013233437;;;00152;0299;52;141;IDB;R104;76;;    
101;ED;RW27L;EDDI;06037;2660;N52281689;E013245926;;;00163;0476;62;141;IDL;B100;98;;    
102;ED;RW27R;EDDI;06870;2640;N52283115;E013243817;;;00163;1690;59;141;;12;93;;    
103;ED;RW07;EDDK;08068;0650;N50513644;E007072560;;;00231;0000;50;148;;  00;00;;    
104;ED;RW14L;EDDK;12516;1380;N50524969;E007074467;;;00230;0000;54;197;IKE;S300;00;;    
105;ED;RW14R;EDDK;06112;1380;N50521504;E007071510;;;00221;0000;50;148;;  00;00;;    
106;ED;RW25;EDDK;08068;2450;N50521081;E007091898;;;00272;0000;49;148;IKO;W100;00;;    
107;ED;RW32L;EDDK;06112;3180;N50513062;E007081947;;;00259;0000;50;148;;  00;00;;    
108;ED;RW32R;EDDK;12516;3180;N50511870;E007095649;;;00302;0000;51;197;IKE;N300;00;;    
109;ED;RW05L;EDDL;08858;0530;N51170713;E006450764;;;00116;0984;52;148;IDN;E309;84;;    
