A1;1440;RK;BI;D;B;NEC ;;O;B;;  ;;;;   ;;;0000;0000;1790;;;
A1;1450;XAMAB;EG;E;A;E   ;;O;L;F;RR;;;;   ;;;1486;0250;0000;FL065;;FL195
A1;1460;VEULE;LF;E;A;EE  ;;O;L;;  ;;;;   ;;;0000;0000;1487;;;
A10;0010;KEA;LG;D;;V C ;;O;L;;RR;;;;   ;;;1643;0213;0000;06500;;FL245
A10;0015;AKORO;LG;E;A;E   ;;O;L;;RR;;;;   ;;;1643;0069;1644;06500;;FL245
A10;0020;SOREV;LG;E;A;E   ;;O;L;;RR;;;;   ;;;1646;0215;1643;06500;;FL245
A10;0030;MIL;LG;D;;V C ;;O;L;;RR;;;;   ;;;1372;0635;1647;06500;;FL245
A10;0040;ALIKI;LG;E;A;E   ;;O;L;;RR;;;;   ;;;1377;0059;1377;06500;;FL245
A10;0050;ATLAN;LG;E;A;E   ;;O;L;;RR;;;;   ;;;1376;0600;1377;06500;;FL245
A10;0060;SIT;LG;D;;VEC ;A;O;L;F;RR;;;;   ;;;3600;0000;1381;06500;;FL245
A14;0030;GITLA;LC;E;A;E C ;;O;L;F;RR;;;;   ;;;2891;0857;0000;06000;;FL245
A14;0040;KAROL;LC;E;A;E C ;;O;L;F;RR;;;;   ;;;2894;0836;2882;06000;;FL245
A14;0050;EVORA;LC;E;A;E   ;;O;L;F;RR;;;;   ;;;2895;0516;2886;06000;;FL245
A14;0060;KAVOS;LC;E;A;E C ;;O;L;;RR;;;;   ;;;2905;1211;2890;06500;;FL245
A14;0065;GUDIS;LG;E;A;E   ;;O;L;;RR;;;;   ;;;2894;0838;2894;06500;;FL245
A14;0070;SIT;LG;D;;V C ;;O;L;;RR;;;;   ;;;3181;0600;2886;06500;;FL245
A14;0080;ATLAN;LG;E;A;T   ;;O;L;;RR;;;;   ;;;3177;0059;3176;06500;;FL245
A14;0090;ALIKI;LG;E;A;E   ;;O;L;;RR;;;;   ;;;3177;0635;3177;06500;;FL245
A14;0100;MIL;LG;D;;V C ;;O;L;;RR;;;;   ;;;2883;0272;3172;08500;;FL245
A14;0110;ALANI;LG;E;A;E   ;;O;L;;RR;;;;   ;;;2878;0845;2880;08500;;FL245
A14;0120;TRL;LG;D;;V C ;;O;L;;RR;;;;   ;;;3113;0606;2869;09500;;FL245
A14;0130;ARA;LG;D;;V C ;;O;L;;RR;;;;   ;;;3190;1020;3108;06500;;FL245
A14;0140;KRK;LG;D;;V C ;;O;L;;RR;;;;   ;;;3039;0391;3182;06500;;FL245
A14;0145;TONLI;LG;E;A;E   ;;O;L;;RR;;;;   ;;;3036;0225;3036;06500;;FL245
A14;0150;TIGRA;LI;E;A;E C ;;O;L;;RR;;;;   ;;;3034;0314;3034;FL065;;FL195
A14;0160;ORSOM;LI;E;A;E   ;;O;L;;RR;;;;   ;;;3034;0251;3031;FL065;;FL195
A14;0170;BRD;LI;D;;VEC ;;O;L;;RR;;;;   ;;;0000;0000;3031;;;
A145;0240;LORNO;LI;E;A;E C ;;O;B;;  ;;;;   ;;;0863;0935;0000;09500;;FL245
A145;0250;RESPA;LG;E;A;E   ;;O;B;;  ;;;;   ;;;0872;0661;0872;09500;;FL245
A145;0260;TRL;LG;D;;V C ;;O;B;;  ;;;;   ;;;1501;0863;0878;09500;;FL245
A145;0270;DILMO;LG;E;A;E   ;;O;B;;  ;;;;   ;;;1505;0059;1506;09500;;FL245
A145;0280;ESODO;LG;E;A;E   ;;O;B;;  ;;;;   ;;;1506;0534;1505;09500;;FL245
A145;0290;PLH;LG;D;;V C ;;O;B;F;RR;;;;   ;;;1494;0828;1509;09500;;FL245
A145;0300;SALUN;LG;E;A;EEC ;A;O;B;F;RR;;;;   ;;;3600;0000;1498;FL195;;UNLTD
A16;0040;RASDA;HE;E;A;E C ;A;O;L;;RR;;;;   ;;;3565;0179;3600;06000;;FL245
A16;0050;EVORA;LC;E;A;E   ;;O;L;;RR;;;;   ;;;3537;0445;3565;06000;;FL245
A16;0055;KOSEG;LC;E;A;E   ;;O;B;;RR;;;;   ;;;3541;0283;3536;06000;;FL245
A16;0060;MAROS;LC;E;A;E C ;;O;L;;RR;;;;   ;;;3568;0335;3540;06000;;FL245
A16;0065;MEDIT;LC;E;A;E   ;;O;L;;RR;;;;   ;;;3522;0263;3568;06000;;FL245
A16;0070;DASNI;LC;E;A;E C ;;O;L;;RR;;;;   ;;;3535;0254;3521;06000;;FL245
A16;0080;TOMBI;LC;E;A;EEC ;M;O;L;;RR;;;;   ;;;3600;0000;3534;FL065;;FL245
A17;0010;BULEN;LB;E;A;E C ;;O;L;F;RR;;;;   ;;;1254;0094;0000;FL045;;FL245
A17;0020;RUS;LB;D;B;N   ;;O;L;;RR;;;;   ;;;1294;0401;1255;FL065;;FL245
A17;0030;ALIVI;LB;E;A;E   ;;O;L;;RR;;;;   ;;;1297;0138;1298;FL065;;FL245
A17;0040;ESENA;LB;E;A;E C ;;O;L;;RR;;;;   ;;;1293;0395;1298;FL065;;FL245
A17;0050;BGS;LB;D;;V   ;;O;L;F;RR;;;;   ;;;1134;0226;1297;FL045;;FL245
A17;0055;MEDEM;LB;E;A;EEC ;M;O;L;F;RR;;;;   ;;;3600;0000;1136;FL045;;FL245
